Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CERC,"Cerecor Inc",2.73,-0.06,-2.15%,2.88,2.88,2.65,687100,07/31/20
CERS,"Cerus Corp",7.13,-0.06,-0.83%,7.04,7.19,6.96,1306500,07/31/20
CETV,"Central EUR Med A",3.98,0.04,+1.02%,3.93,3.99,3.9,218900,07/31/20
CEVA,"Ceva Inc",40.2,0.27,+0.68%,40.23,40.32,39.22,157800,07/31/20
CFB,"Crossfirst Bankshares Inc",9.17,-0.61,-6.24%,9.68,9.68,9.06,100400,07/31/20
CFFI,"C&F Financial Corp",29.35,-0.76,-2.52%,30.34,30.59,29.35,6900,07/31/20
CFFN,"Capitol Fed Finl Inc",9.65,-0.13,-1.33%,9.72,9.83,9.47,668500,07/31/20
CFRX,Contrafect,5.56,-0.18,-3.14%,5.8,5.8,5.47,207000,07/31/20
CHCO,"City Holding Company",62.46,-1.25,-1.96%,63.54,63.54,60.91,99800,07/31/20
CHCT,"Community Healthcare Trust Inc",45.73,0.13,+0.29%,45.36,45.78,43.96,120100,07/31/20
CHDN,"Churchill Downs IN",138.52,-0.54999999999998,-0.40%,134.72,138.98,134.63,491800,07/31/20
CHEF,"The Chefs Warehouse",11.53,-1,-7.98%,12.41,12.6,11.2,2325700,07/31/20
CHMA,"Chiasma Inc",4.37,-0.02,-0.46%,4.46,4.46,4.26,359200,07/31/20
CHMG,"Chemung Financial Cp",27.01,-1.04,-3.71%,28.25,28.25,27.01,9000,07/31/20
CHMI,"Cherry Hill Mortgage Investmen",9.23,-0.12,-1.28%,9.25,9.6,9.04,370800,07/31/20
CHRS,"Coherus Bio",17.59,-0.56,-3.09%,18.08,18.3,17.16,1053100,07/31/20
CHS,"Chico's Fas",1.27,-0.09,-6.62%,1.35,1.37,1.25,1824100,07/31/20
CHUY,"Chuy's Holdings Inc",15.91,-0.4,-2.45%,16.29,16.37,15.67,204900,07/31/20
CHX,"Championx Corp.",9.51,-0.27,-2.76%,9.55,9.8,9.46,1973900,07/31/20
CIA,"Citizens Inc",5.74,-0.16,-2.71%,5.84,5.9,5.62,144200,07/31/20
CIM,"Chimera Investment Corp",8.99,-0.1,-1.10%,9.19,9.19,8.86,3699000,07/31/20
CIO,"City Office REIT Inc",8.65,-0.47,-5.15%,9,9.01,8.55,390500,07/31/20
CIR,"Circor International",26.22,-1.95,-6.92%,27.88,28.05,25.74,253100,07/31/20
CIT,"Cit Group Inc",18.97,0.029999999999998,+0.16%,18.71,18.99,18.16,2338400,07/31/20
CIVB,"Civista Bncshrs",13.13,-0.31,-2.31%,13.27,13.27,12.68,44900,07/31/20
CIZN,"Citizens Hld Company",21.56,-0.84,-3.75%,21.49,21.98,21.49,4300,07/31/20
CKH,"Seacor Smit Inc",29.08,0.23,+0.80%,28.5,29.16,27.96,74200,07/31/20
CKPT,"Checkpoint Therapeutics Inc",2.25,-0.09,-3.85%,2.32,2.34,2.2,322300,07/31/20
CLAR,"Clarus Corp",11.98,0.050000000000001,+0.42%,11.95,12.01,11.76,143400,07/31/20
CLBK,"Columbia Financial Inc",12.03,-0.49,-3.91%,12.44,12.81,12,169000,07/31/20
CLCT,"Collectors Universe",38.06,-0.79,-2.03%,38.88,39.3,37.55,79700,07/31/20
CLDR,"Cloudera Inc",11.27,-0.09,-0.79%,11.41,11.42,10.99,3848500,07/31/20
CLDT,"Chatham Lodging Trust [Reit]",5.21,-0.23,-4.23%,5.36,5.36,5.08,485900,07/31/20
CLF,"Cleveland-Cliffs Inc",5.18,-0.49,-8.64%,5.48,5.53,5.16,14832500,07/31/20
CLFD,"Clearfield Inc",18.64,-0.24,-1.27%,19,19,17.9,51100,07/31/20
CLI,"Mack-Cali Realty Corp",14.42,0.15,+1.05%,14.16,14.42,13.86,769000,07/31/20
CLNC,"Colony Northstar Credit Real Estate Inc Class",6.3,-0.3,-4.55%,6.51,6.6,6.1,456700,07/31/20
CLNE,"Clean Energy Fuels",2.38,-0.08,-3.25%,2.43,2.45,2.34,1023900,07/31/20
CLNY,"Colony Capital Inc",1.92,-0.05,-2.54%,1.95,2,1.86,4082900,07/31/20
CLPR,"Clipper Realty Inc",6.68,-0.23,-3.33%,7.01,7.01,6.49,38500,07/31/20
CLVS,"Clovis Oncology Inc",5.79,-0.35,-5.70%,6.1,6.14,5.77,5330100,07/31/20
CLW,"Clearwater Paper Corp",36.92,-0.98999999999999,-2.61%,37.91,37.91,36.07,147700,07/31/20
CLXT,"Calyxt Inc",4.41,-0.2,-4.34%,4.59,4.63,4.35,41000,07/31/20
CMBM,"Cambium Networks Corp",12.1,-0.050000000000001,-0.41%,12.2,12.24,11.86,50200,07/31/20
CMC,"Commercial Metals Company",20.68,-0.22,-1.05%,21,21.16,20.48,1326900,07/31/20
CMCL,"Caledonia Mining Cp",22.93,-0.29,-1.25%,23.9,24.2,21.37,275000,07/31/20
CMCO,"Columbus Mckinnon",33.13,-0.009999999999998,-0.03%,34.05,34.05,32.08,86800,07/31/20
CMCT,"Cim Commercial TR Cp",10.2,-0.17,-1.64%,10.21,10.58,10.2,10900,07/31/20
CMD,"Cantel Medical",47.25,-1.85,-3.77%,48.6,49.15,46.16,355800,07/31/20
CMO,"Capstead Mortgage Corp",6.15,-0.0099999999999998,-0.16%,6.14,6.47,6.01,745900,07/31/20
CMP,"Compass Minerals Intl Inc",50.94,-0.47,-0.91%,51.19,51.19,50,232700,07/31/20
CMPR,"Cimpress N.V. Ord",100,-2.66,-2.59%,101.04,103.32,95.78,299300,07/31/20
CMRE,"Costamare Inc",4.55,-0.23,-4.81%,4.79,4.79,4.5,834300,07/31/20
CMRX,"Chimerix Inc",3.11,-0.11,-3.42%,3.19,3.25,3.06,309100,07/31/20
CMTL,"Comtech Telecom Company",16.42,0.090000000000003,+0.55%,16.15,16.45,15.94,231200,07/31/20
CNBKA,"Century Bancorp Inc",69.64,-1.18,-1.67%,70.59,71.93,68.72,13200,07/31/20
CNCE,"Concert Pharmaceutic",9.27,0.049999999999999,+0.54%,9.2,9.49,8.93,202200,07/31/20
CNDT,"Conduent Inc",1.91,-0.07,-3.54%,1.99,2,1.89,1833800,07/31/20
CNK,"Cinemark Holdings Inc",11.83,-0.039999999999999,-0.34%,11.91,11.91,11.35,2570300,07/31/20
CNMD,"C O N M E D Cp",82.54,-4.8,-5.50%,87.38,88.08,80.99,417800,07/31/20
CNNE,"Cannae Holdings Inc",37.68,-0.69,-1.80%,38.3,38.4,36.94,393800,07/31/20
CNO,"Cno Financial Group",15.1,0.02,+0.13%,15.01,15.12,14.72,886500,07/31/20
CNOB,"Connectone Bancorp",13.79,-0.4,-2.82%,14.13,14.18,13.53,131100,07/31/20
CNR,"Cornerstone Building Brands Inc",5.67,-0.08,-1.39%,5.71,5.78,5.53,403700,07/31/20
